date,session_source,session_medium,session_default_channel_group,sessions,total_users,new_users,engaged_sessions,engagement_rate,screen_page_views,average_session_duration
2025-08-09,newsletter,email,Email,224,190,76,134,0.6,672,90.0
2025-08-10,google,organic,Organic Search,253,215,86,152,0.6,759,90.0
2025-08-10,google,cpc,Paid Search,233,198,79,140,0.6,699,90.0
2025-08-10,(direct),(none),Direct,257,218,87,154,0.6,771,90.0
2025-08-10,facebook.com,social,Organic Social,222,189,76,133,0.6,666,90.0
2025-08-10,newsletter,email,Email,255,217,87,153,0.6,765,90.0
2025-08-11,google,organic,Organic Search,205,174,70,123,0.6,615,90.0
2025-08-11,google,cpc,Paid Search,187,159,64,112,0.6,561,90.0
2025-08-11,(direct),(none),Direct,180,153,61,108,0.6,540,90.0
2025-08-11,facebook.com,social,Organic Social,215,183,73,129,0.6,645,90.0
2025-08-11,newsletter,email,Email,192,163,65,115,0.6,576,90.0
2025-08-12,google,organic,Organic Search,190,162,65,114,0.6,570,90.0
2025-08-12,google,cpc,Paid Search,187,159,64,112,0.6,561,90.0
2025-08-12,(direct),(none),Direct,194,165,66,116,0.6,582,90.0
2025-08-12,facebook.com,social,Organic Social,201,171,68,121,0.6,603,90.0
2025-08-12,newsletter,email,Email,199,169,68,119,0.6,597,90.0
2025-08-13,google,organic,Organic Search,214,182,73,128,0.6,642,90.0
2025-08-13,google,cpc,Paid Search,188,160,64,113,0.6,564,90.0
2025-08-13,(direct),(none),Direct,210,178,71,126,0.6,630,90.0
2025-08-13,facebook.com,social,Organic Social,216,184,74,130,0.6,648,90.0
2025-08-13,newsletter,email,Email,181,154,62,109,0.6,543,90.0
2025-08-14,google,organic,Organic Search,210,178,71,126,0.6,630,90.0
2025-08-14,google,cpc,Paid Search,191,162,65,115,0.6,573,90.0
2025-08-14,(direct),(none),Direct,198,168,67,119,0.6,594,90.0
2025-08-14,facebook.com,social,Organic Social,182,155,62,109,0.6,546,90.0
2025-08-14,newsletter,email,Email,192,163,65,115,0.6,576,90.0
2025-08-15,google,organic,Organic Search,184,156,62,110,0.6,552,90.0
2025-08-15,google,cpc,Paid Search,189,161,64,113,0.6,567,90.0
2025-08-15,(direct),(none),Direct,181,154,62,109,0.6,543,90.0
2025-08-15,facebook.com,social,Organic Social,218,185,74,131,0.6,654,90.0
2025-08-15,newsletter,email,Email,216,184,74,130,0.6,648,90.0
2025-08-16,google,organic,Organic Search,247,210,84,148,0.6,741,90.0
2025-08-16,google,cpc,Paid Search,232,197,79,139,0.6,696,90.0
2025-08-16,(direct),(none),Direct,261,222,89,157,0.6,783,90.0
2025-08-16,facebook.com,social,Organic Social,263,224,90,158,0.6,789,90.0
2025-08-16,newsletter,email,Email,254,216,86,152,0.6,762,90.0
2025-08-17,google,organic,Organic Search,249,212,85,149,0.6,747,90.0
2025-08-17,google,cpc,Paid Search,232,197,79,139,0.6,696,90.0
2025-08-17,(direct),(none),Direct,258,219,88,155,0.6,774,90.0
2025-08-17,facebook.com,social,Organic Social,240,204,82,144,0.6,720,90.0
2025-08-17,newsletter,email,Email,246,209,84,148,0.6,738,90.0
2025-08-18,google,organic,Organic Search,187,159,64,112,0.6,561,90.0
2025-08-18,google,cpc,Paid Search,181,154,62,109,0.6,543,90.0
2025-08-18,(direct),(none),Direct,220,187,75,132,0.6,660,90.0
2025-08-18,facebook.com,social,Organic Social,205,174,70,123,0.6,615,90.0
2025-08-18,newsletter,email,Email,207,176,70,124,0.6,621,90.0
2025-08-19,google,organic,Organic Search,182,155,62,109,0.6,546,90.0
2025-08-19,google,cpc,Paid Search,197,167,67,118,0.6,591,90.0
2025-08-19,(direct),(none),Direct,191,162,65,115,0.6,573,90.0
2025-08-19,facebook.com,social,Organic Social,213,181,72,128,0.6,639,90.0
2025-08-19,newsletter,email,Email,199,169,68,119,0.6,597,90.0
2025-08-20,google,organic,Organic Search,195,166,66,117,0.6,585,90.0
2025-08-20,google,cpc,Paid Search,186,158,63,112,0.6,558,90.0
2025-08-20,(direct),(none),Direct,195,166,66,117,0.6,585,90.0
2025-08-20,facebook.com,social,Organic Social,194,165,66,116,0.6,582,90.0
2025-08-20,newsletter,email,Email,211,179,72,127,0.6,633,90.0
2025-08-21,google,organic,Organic Search,214,182,73,128,0.6,642,90.0
2025-08-21,google,cpc,Paid Search,195,166,66,117,0.6,585,90.0
2025-08-21,(direct),(none),Direct,196,167,67,118,0.6,588,90.0
2025-08-21,facebook.com,social,Organic Social,219,186,74,131,0.6,657,90.0
2025-08-21,newsletter,email,Email,195,166,66,117,0.6,585,90.0
2025-08-22,google,organic,Organic Search,205,174,70,123,0.6,615,90.0
2025-08-22,google,cpc,Paid Search,185,157,63,111,0.6,555,90.0
2025-08-22,(direct),(none),Direct,197,167,67,118,0.6,591,90.0
2025-08-22,facebook.com,social,Organic Social,190,162,65,114,0.6,570,90.0
2025-08-22,newsletter,email,Email,190,162,65,114,0.6,570,90.0
2025-08-23,google,organic,Organic Search,227,193,77,136,0.6,681,90.0
2025-08-23,google,cpc,Paid Search,239,203,81,143,0.6,717,90.0
2025-08-23,(direct),(none),Direct,230,196,78,138,0.6,690,90.0
2025-08-23,facebook.com,social,Organic Social,255,217,87,153,0.6,765,90.0
2025-08-23,newsletter,email,Email,238,202,81,143,0.6,714,90.0
2025-08-24,google,organic,Organic Search,219,186,74,131,0.6,657,90.0
2025-08-24,google,cpc,Paid Search,237,201,80,142,0.6,711,90.0
2025-08-24,(direct),(none),Direct,221,188,75,133,0.6,663,90.0
2025-08-24,facebook.com,social,Organic Social,223,190,76,134,0.6,669,90.0
2025-08-24,newsletter,email,Email,222,189,76,133,0.6,666,90.0
2025-08-25,google,organic,Organic Search,212,180,72,127,0.6,636,90.0
2025-08-25,google,cpc,Paid Search,197,167,67,118,0.6,591,90.0
2025-08-25,(direct),(none),Direct,180,153,61,108,0.6,540,90.0
2025-08-25,facebook.com,social,Organic Social,200,170,68,120,0.6,600,90.0
2025-08-25,newsletter,email,Email,188,160,64,113,0.6,564,90.0
2025-08-26,google,organic,Organic Search,209,178,71,125,0.6,627,90.0
2025-08-26,google,cpc,Paid Search,218,185,74,131,0.6,654,90.0
2025-08-26,(direct),(none),Direct,187,159,64,112,0.6,561,90.0
2025-08-26,facebook.com,social,Organic Social,191,162,65,115,0.6,573,90.0
2025-08-26,newsletter,email,Email,208,177,71,125,0.6,624,90.0
2025-08-27,google,organic,Organic Search,205,174,70,123,0.6,615,90.0
2025-08-27,google,cpc,Paid Search,213,181,72,128,0.6,639,90.0
2025-08-27,(direct),(none),Direct,206,175,70,124,0.6,618,90.0
2025-08-27,facebook.com,social,Organic Social,188,160,64,113,0.6,564,90.0
2025-08-27,newsletter,email,Email,213,181,72,128,0.6,639,90.0
2025-08-28,google,organic,Organic Search,186,158,63,112,0.6,558,90.0
2025-08-28,google,cpc,Paid Search,183,156,62,110,0.6,549,90.0
2025-08-28,(direct),(none),Direct,218,185,74,131,0.6,654,90.0
2025-08-28,facebook.com,social,Organic Social,203,173,69,122,0.6,609,90.0
2025-08-28,newsletter,email,Email,193,164,66,116,0.6,579,90.0
2025-08-29,google,organic,Organic Search,190,162,65,114,0.6,570,90.0
2025-08-29,google,cpc,Paid Search,183,156,62,110,0.6,549,90.0
2025-08-29,(direct),(none),Direct,202,172,69,121,0.6,606,90.0
2025-08-29,facebook.com,social,Organic Social,215,183,73,129,0.6,645,90.0
2025-08-29,newsletter,email,Email,207,176,70,124,0.6,621,90.0
2025-08-30,google,organic,Organic Search,253,215,86,152,0.6,759,90.0
2025-08-30,google,cpc,Paid Search,245,208,83,147,0.6,735,90.0
2025-08-30,(direct),(none),Direct,216,184,74,130,0.6,648,90.0
2025-08-30,facebook.com,social,Organic Social,237,201,80,142,0.6,711,90.0
2025-08-30,newsletter,email,Email,218,185,74,131,0.6,654,90.0
2025-08-31,google,organic,Organic Search,220,187,75,132,0.6,660,90.0
2025-08-31,google,cpc,Paid Search,224,190,76,134,0.6,672,90.0
2025-08-31,(direct),(none),Direct,259,220,88,155,0.6,777,90.0
2025-08-31,facebook.com,social,Organic Social,226,192,77,136,0.6,678,90.0
2025-08-31,newsletter,email,Email,238,202,81,143,0.6,714,90.0
2025-09-01,google,organic,Organic Search,215,183,73,129,0.6,645,90.0
2025-09-01,google,cpc,Paid Search,207,176,70,124,0.6,621,90.0
2025-09-01,(direct),(none),Direct,185,157,63,111,0.6,555,90.0
2025-09-01,facebook.com,social,Organic Social,198,168,67,119,0.6,594,90.0
2025-09-01,newsletter,email,Email,211,179,72,127,0.6,633,90.0
2025-09-02,google,organic,Organic Search,198,168,67,119,0.6,594,90.0
2025-09-02,google,cpc,Paid Search,189,161,64,113,0.6,567,90.0
2025-09-02,(direct),(none),Direct,206,175,70,124,0.6,618,90.0
2025-09-02,facebook.com,social,Organic Social,196,167,67,118,0.6,588,90.0
2025-09-02,newsletter,email,Email,201,171,68,121,0.6,603,90.0
2025-09-03,google,organic,Organic Search,185,157,63,111,0.6,555,90.0
2025-09-03,google,cpc,Paid Search,216,184,74,130,0.6,648,90.0
2025-09-03,(direct),(none),Direct,217,184,74,130,0.6,651,90.0
2025-09-03,facebook.com,social,Organic Social,192,163,65,115,0.6,576,90.0
2025-09-03,newsletter,email,Email,192,163,65,115,0.6,576,90.0
2025-09-04,google,organic,Organic Search,187,159,64,112,0.6,561,90.0
2025-09-04,google,cpc,Paid Search,203,173,69,122,0.6,609,90.0
2025-09-04,(direct),(none),Direct,188,160,64,113,0.6,564,90.0
2025-09-04,facebook.com,social,Organic Social,205,174,70,123,0.6,615,90.0
2025-09-04,newsletter,email,Email,218,185,74,131,0.6,654,90.0
2025-09-05,google,organic,Organic Search,187,159,64,112,0.6,561,90.0
2025-09-05,google,cpc,Paid Search,189,161,64,113,0.6,567,90.0
2025-09-05,(direct),(none),Direct,184,156,62,110,0.6,552,90.0
2025-09-05,facebook.com,social,Organic Social,193,164,66,116,0.6,579,90.0
2025-09-05,newsletter,email,Email,215,183,73,129,0.6,645,90.0
2025-09-06,google,organic,Organic Search,217,184,74,130,0.6,651,90.0
2025-09-06,google,cpc,Paid Search,247,210,84,148,0.6,741,90.0
2025-09-06,(direct),(none),Direct,234,199,80,140,0.6,702,90.0
2025-09-06,facebook.com,social,Organic Social,231,196,78,139,0.6,693,90.0
2025-09-06,newsletter,email,Email,224,190,76,134,0.6,672,90.0
2025-09-07,google,organic,Organic Search,256,218,87,154,0.6,768,90.0
2025-09-07,google,cpc,Paid Search,255,217,87,153,0.6,765,90.0
2025-09-07,(direct),(none),Direct,218,185,74,131,0.6,654,90.0
2025-09-07,facebook.com,social,Organic Social,244,207,83,146,0.6,732,90.0
2025-09-07,newsletter,email,Email,236,201,80,142,0.6,708,90.0
2025-09-08,google,organic,Organic Search,180,153,61,108,0.6,540,90.0
2025-09-08,google,cpc,Paid Search,192,163,65,115,0.6,576,90.0
2025-09-08,(direct),(none),Direct,188,160,64,113,0.6,564,90.0
2025-09-08,facebook.com,social,Organic Social,211,179,72,127,0.6,633,90.0
2025-09-08,newsletter,email,Email,198,168,67,119,0.6,594,90.0
2025-09-09,google,organic,Organic Search,212,180,72,127,0.6,636,90.0
2025-09-09,google,cpc,Paid Search,219,186,74,131,0.6,657,90.0
2025-09-09,(direct),(none),Direct,196,167,67,118,0.6,588,90.0
2025-09-09,facebook.com,social,Organic Social,202,172,69,121,0.6,606,90.0
2025-09-09,newsletter,email,Email,219,186,74,131,0.6,657,90.0
2025-09-10,google,organic,Organic Search,187,159,64,112,0.6,561,90.0
2025-09-10,google,cpc,Paid Search,182,155,62,109,0.6,546,90.0
2025-09-10,(direct),(none),Direct,199,169,68,119,0.6,597,90.0
2025-09-10,facebook.com,social,Organic Social,200,170,68,120,0.6,600,90.0
2025-09-10,newsletter,email,Email,217,184,74,130,0.6,651,90.0
2025-09-11,google,organic,Organic Search,198,168,67,119,0.6,594,90.0
2025-09-11,google,cpc,Paid Search,198,168,67,119,0.6,594,90.0
2025-09-11,(direct),(none),Direct,200,170,68,120,0.6,600,90.0
2025-09-11,facebook.com,social,Organic Social,198,168,67,119,0.6,594,90.0
2025-09-11,newsletter,email,Email,216,184,74,130,0.6,648,90.0
2025-09-12,google,organic,Organic Search,205,174,70,123,0.6,615,90.0
2025-09-12,google,cpc,Paid Search,212,180,72,127,0.6,636,90.0
2025-09-12,(direct),(none),Direct,186,158,63,112,0.6,558,90.0
2025-09-12,facebook.com,social,Organic Social,215,183,73,129,0.6,645,90.0
2025-09-12,newsletter,email,Email,219,186,74,131,0.6,657,90.0
2025-09-13,google,organic,Organic Search,262,223,89,157,0.6,786,90.0
2025-09-13,google,cpc,Paid Search,263,224,90,158,0.6,789,90.0
2025-09-13,(direct),(none),Direct,249,212,85,149,0.6,747,90.0
2025-09-13,facebook.com,social,Organic Social,248,211,84,149,0.6,744,90.0
2025-09-13,newsletter,email,Email,219,186,74,131,0.6,657,90.0
2025-09-14,google,organic,Organic Search,230,196,78,138,0.6,690,90.0
2025-09-14,google,cpc,Paid Search,254,216,86,152,0.6,762,90.0
2025-09-14,(direct),(none),Direct,233,198,79,140,0.6,699,90.0
2025-09-14,facebook.com,social,Organic Social,246,209,84,148,0.6,738,90.0
2025-09-14,newsletter,email,Email,244,207,83,146,0.6,732,90.0
2025-09-15,google,organic,Organic Search,203,173,69,122,0.6,609,90.0
2025-09-15,google,cpc,Paid Search,195,166,66,117,0.6,585,90.0
2025-09-15,(direct),(none),Direct,215,183,73,129,0.6,645,90.0
2025-09-15,facebook.com,social,Organic Social,190,162,65,114,0.6,570,90.0
2025-09-15,newsletter,email,Email,211,179,72,127,0.6,633,90.0
2025-09-16,google,organic,Organic Search,181,154,62,109,0.6,543,90.0
2025-09-16,google,cpc,Paid Search,214,182,73,128,0.6,642,90.0
2025-09-16,(direct),(none),Direct,210,178,71,126,0.6,630,90.0
2025-09-16,facebook.com,social,Organic Social,219,186,74,131,0.6,657,90.0
2025-09-16,newsletter,email,Email,185,157,63,111,0.6,555,90.0
2025-09-17,google,organic,Organic Search,212,180,72,127,0.6,636,90.0
2025-09-17,google,cpc,Paid Search,192,163,65,115,0.6,576,90.0
2025-09-17,(direct),(none),Direct,190,162,65,114,0.6,570,90.0
2025-09-17,facebook.com,social,Organic Social,188,160,64,113,0.6,564,90.0
2025-09-17,newsletter,email,Email,209,178,71,125,0.6,627,90.0
2025-09-18,google,organic,Organic Search,218,185,74,131,0.6,654,90.0
2025-09-18,google,cpc,Paid Search,206,175,70,124,0.6,618,90.0
2025-09-18,(direct),(none),Direct,191,162,65,115,0.6,573,90.0
2025-09-18,facebook.com,social,Organic Social,196,167,67,118,0.6,588,90.0
2025-09-18,newsletter,email,Email,190,162,65,114,0.6,570,90.0
2025-09-19,google,organic,Organic Search,183,156,62,110,0.6,549,90.0
2025-09-19,google,cpc,Paid Search,211,179,72,127,0.6,633,90.0
2025-09-19,(direct),(none),Direct,184,156,62,110,0.6,552,90.0
2025-09-19,facebook.com,social,Organic Social,206,175,70,124,0.6,618,90.0
2025-09-19,newsletter,email,Email,197,167,67,118,0.6,591,90.0
2025-09-20,google,organic,Organic Search,219,186,74,131,0.6,657,90.0
2025-09-20,google,cpc,Paid Search,230,196,78,138,0.6,690,90.0
2025-09-20,(direct),(none),Direct,220,187,75,132,0.6,660,90.0
2025-09-20,facebook.com,social,Organic Social,246,209,84,148,0.6,738,90.0
2025-09-20,newsletter,email,Email,248,211,84,149,0.6,744,90.0
2025-09-21,google,organic,Organic Search,259,220,88,155,0.6,777,90.0
2025-09-21,google,cpc,Paid Search,230,196,78,138,0.6,690,90.0
2025-09-21,(direct),(none),Direct,224,190,76,134,0.6,672,90.0
2025-09-21,facebook.com,social,Organic Social,239,203,81,143,0.6,717,90.0
2025-09-21,newsletter,email,Email,255,217,87,153,0.6,765,90.0
2025-09-22,google,organic,Organic Search,203,173,69,122,0.6,609,90.0
2025-09-22,google,cpc,Paid Search,218,185,74,131,0.6,654,90.0
2025-09-22,(direct),(none),Direct,184,156,62,110,0.6,552,90.0
2025-09-22,facebook.com,social,Organic Social,209,178,71,125,0.6,627,90.0
2025-09-22,newsletter,email,Email,207,176,70,124,0.6,621,90.0
2025-09-23,google,organic,Organic Search,190,162,65,114,0.6,570,90.0
2025-09-23,google,cpc,Paid Search,188,160,64,113,0.6,564,90.0
2025-09-23,(direct),(none),Direct,195,166,66,117,0.6,585,90.0
2025-09-23,facebook.com,social,Organic Social,193,164,66,116,0.6,579,90.0
2025-09-23,newsletter,email,Email,193,164,66,116,0.6,579,90.0
2025-09-24,google,organic,Organic Search,209,178,71,125,0.6,627,90.0
2025-09-24,google,cpc,Paid Search,184,156,62,110,0.6,552,90.0
2025-09-24,(direct),(none),Direct,210,178,71,126,0.6,630,90.0
2025-09-24,facebook.com,social,Organic Social,200,170,68,120,0.6,600,90.0
2025-09-24,newsletter,email,Email,187,159,64,112,0.6,561,90.0
2025-09-25,google,organic,Organic Search,207,176,70,124,0.6,621,90.0
2025-09-25,google,cpc,Paid Search,195,166,66,117,0.6,585,90.0
2025-09-25,(direct),(none),Direct,185,157,63,111,0.6,555,90.0
2025-09-25,facebook.com,social,Organic Social,204,173,69,122,0.6,612,90.0
2025-09-25,newsletter,email,Email,193,164,66,116,0.6,579,90.0
2025-09-26,google,organic,Organic Search,191,162,65,115,0.6,573,90.0
2025-09-26,google,cpc,Paid Search,199,169,68,119,0.6,597,90.0
2025-09-26,(direct),(none),Direct,201,171,68,121,0.6,603,90.0
2025-09-26,facebook.com,social,Organic Social,208,177,71,125,0.6,624,90.0
2025-09-26,newsletter,email,Email,200,170,68,120,0.6,600,90.0
2025-09-27,google,organic,Organic Search,242,206,82,145,0.6,726,90.0
2025-09-27,google,cpc,Paid Search,243,207,83,146,0.6,729,90.0
2025-09-27,(direct),(none),Direct,261,222,89,157,0.6,783,90.0
2025-09-27,facebook.com,social,Organic Social,221,188,75,133,0.6,663,90.0
2025-09-27,newsletter,email,Email,248,211,84,149,0.6,744,90.0
2025-09-28,google,organic,Organic Search,218,185,74,131,0.6,654,90.0
2025-09-28,google,cpc,Paid Search,228,194,78,137,0.6,684,90.0
2025-09-28,(direct),(none),Direct,254,216,86,152,0.6,762,90.0
2025-09-28,facebook.com,social,Organic Social,233,198,79,140,0.6,699,90.0
2025-09-28,newsletter,email,Email,217,184,74,130,0.6,651,90.0
2025-09-29,google,organic,Organic Search,201,171,68,121,0.6,603,90.0
2025-09-29,google,cpc,Paid Search,198,168,67,119,0.6,594,90.0
2025-09-29,(direct),(none),Direct,217,184,74,130,0.6,651,90.0
2025-09-29,facebook.com,social,Organic Social,218,185,74,131,0.6,654,90.0
2025-09-29,newsletter,email,Email,191,162,65,115,0.6,573,90.0
2025-09-30,google,organic,Organic Search,213,181,72,128,0.6,639,90.0
2025-09-30,google,cpc,Paid Search,201,171,68,121,0.6,603,90.0
2025-09-30,(direct),(none),Direct,202,172,69,121,0.6,606,90.0
2025-09-30,facebook.com,social,Organic Social,185,157,63,111,0.6,555,90.0
2025-09-30,newsletter,email,Email,213,181,72,128,0.6,639,90.0
2025-10-01,google,organic,Organic Search,204,173,69,122,0.6,612,90.0
2025-10-01,google,cpc,Paid Search,218,185,74,131,0.6,654,90.0
2025-10-01,(direct),(none),Direct,211,179,72,127,0.6,633,90.0
2025-10-01,facebook.com,social,Organic Social,199,169,68,119,0.6,597,90.0
2025-10-01,newsletter,email,Email,214,182,73,128,0.6,642,90.0
2025-10-02,google,organic,Organic Search,193,164,66,116,0.6,579,90.0
2025-10-02,google,cpc,Paid Search,215,183,73,129,0.6,645,90.0
2025-10-02,(direct),(none),Direct,185,157,63,111,0.6,555,90.0
2025-10-02,facebook.com,social,Organic Social,193,164,66,116,0.6,579,90.0
2025-10-02,newsletter,email,Email,215,183,73,129,0.6,645,90.0
2025-10-03,google,organic,Organic Search,181,154,62,109,0.6,543,90.0
2025-10-03,google,cpc,Paid Search,215,183,73,129,0.6,645,90.0
2025-10-03,(direct),(none),Direct,182,155,62,109,0.6,546,90.0
2025-10-03,facebook.com,social,Organic Social,206,175,70,124,0.6,618,90.0
2025-10-03,newsletter,email,Email,206,175,70,124,0.6,618,90.0
2025-10-04,google,organic,Organic Search,219,186,74,131,0.6,657,90.0
2025-10-04,google,cpc,Paid Search,256,218,87,154,0.6,768,90.0
2025-10-04,(direct),(none),Direct,220,187,75,132,0.6,660,90.0
2025-10-04,facebook.com,social,Organic Social,257,218,87,154,0.6,771,90.0
2025-10-04,newsletter,email,Email,263,224,90,158,0.6,789,90.0
2025-10-05,google,organic,Organic Search,248,211,84,149,0.6,744,90.0
2025-10-05,google,cpc,Paid Search,261,222,89,157,0.6,783,90.0
2025-10-05,(direct),(none),Direct,246,209,84,148,0.6,738,90.0
2025-10-05,facebook.com,social,Organic Social,263,224,90,158,0.6,789,90.0
2025-10-05,newsletter,email,Email,254,216,86,152,0.6,762,90.0
2025-10-06,google,organic,Organic Search,207,176,70,124,0.6,621,90.0
2025-10-06,google,cpc,Paid Search,220,187,75,132,0.6,660,90.0
2025-10-06,(direct),(none),Direct,199,169,68,119,0.6,597,90.0
2025-10-06,facebook.com,social,Organic Social,199,169,68,119,0.6,597,90.0
2025-10-06,newsletter,email,Email,214,182,73,128,0.6,642,90.0
2025-10-07,google,organic,Organic Search,207,176,70,124,0.6,621,90.0
2025-10-07,google,cpc,Paid Search,186,158,63,112,0.6,558,90.0
2025-10-07,(direct),(none),Direct,192,163,65,115,0.6,576,90.0
2025-10-07,facebook.com,social,Organic Social,203,173,69,122,0.6,609,90.0
2025-10-07,newsletter,email,Email,181,154,62,109,0.6,543,90.0
2025-10-08,google,organic,Organic Search,200,170,68,120,0.6,600,90.0
2025-10-08,google,cpc,Paid Search,189,161,64,113,0.6,567,90.0
2025-10-08,(direct),(none),Direct,189,161,64,113,0.6,567,90.0
2025-10-08,facebook.com,social,Organic Social,216,184,74,130,0.6,648,90.0
2025-10-08,newsletter,email,Email,191,162,65,115,0.6,573,90.0
2025-10-09,google,organic,Organic Search,216,184,74,130,0.6,648,90.0
2025-10-09,google,cpc,Paid Search,201,171,68,121,0.6,603,90.0
2025-10-09,(direct),(none),Direct,217,184,74,130,0.6,651,90.0
2025-10-09,facebook.com,social,Organic Social,209,178,71,125,0.6,627,90.0
2025-10-09,newsletter,email,Email,197,167,67,118,0.6,591,90.0
2025-10-10,google,organic,Organic Search,181,154,62,109,0.6,543,90.0
2025-10-10,google,cpc,Paid Search,216,184,74,130,0.6,648,90.0
2025-10-10,(direct),(none),Direct,208,177,71,125,0.6,624,90.0
2025-10-10,facebook.com,social,Organic Social,185,157,63,111,0.6,555,90.0
2025-10-10,newsletter,email,Email,217,184,74,130,0.6,651,90.0
2025-10-11,google,organic,Organic Search,239,203,81,143,0.6,717,90.0
2025-10-11,google,cpc,Paid Search,217,184,74,130,0.6,651,90.0
2025-10-11,(direct),(none),Direct,230,196,78,138,0.6,690,90.0
2025-10-11,facebook.com,social,Organic Social,257,218,87,154,0.6,771,90.0
2025-10-11,newsletter,email,Email,236,201,80,142,0.6,708,90.0
2025-10-12,google,organic,Organic Search,255,217,87,153,0.6,765,90.0
2025-10-12,google,cpc,Paid Search,235,200,80,141,0.6,705,90.0
2025-10-12,(direct),(none),Direct,222,189,76,133,0.6,666,90.0
2025-10-12,facebook.com,social,Organic Social,225,191,76,135,0.6,675,90.0
2025-10-12,newsletter,email,Email,258,219,88,155,0.6,774,90.0
2025-10-13,google,organic,Organic Search,187,159,64,112,0.6,561,90.0
2025-10-13,google,cpc,Paid Search,217,184,74,130,0.6,651,90.0
2025-10-13,(direct),(none),Direct,192,163,65,115,0.6,576,90.0
2025-10-13,facebook.com,social,Organic Social,219,186,74,131,0.6,657,90.0
2025-10-13,newsletter,email,Email,184,156,62,110,0.6,552,90.0
2025-10-14,google,organic,Organic Search,202,172,69,121,0.6,606,90.0
2025-10-14,google,cpc,Paid Search,181,154,62,109,0.6,543,90.0
2025-10-14,(direct),(none),Direct,190,162,65,114,0.6,570,90.0
2025-10-14,facebook.com,social,Organic Social,214,182,73,128,0.6,642,90.0
2025-10-14,newsletter,email,Email,187,159,64,112,0.6,561,90.0
2025-10-15,google,organic,Organic Search,216,184,74,130,0.6,648,90.0
2025-10-15,google,cpc,Paid Search,204,173,69,122,0.6,612,90.0
2025-10-15,(direct),(none),Direct,209,178,71,125,0.6,627,90.0
2025-10-15,facebook.com,social,Organic Social,194,165,66,116,0.6,582,90.0
2025-10-15,newsletter,email,Email,219,186,74,131,0.6,657,90.0
2025-10-16,google,organic,Organic Search,213,181,72,128,0.6,639,90.0
2025-10-16,google,cpc,Paid Search,216,184,74,130,0.6,648,90.0
2025-10-16,(direct),(none),Direct,186,158,63,112,0.6,558,90.0
2025-10-16,facebook.com,social,Organic Social,191,162,65,115,0.6,573,90.0
2025-10-16,newsletter,email,Email,214,182,73,128,0.6,642,90.0
2025-10-17,google,organic,Organic Search,207,176,70,124,0.6,621,90.0
2025-10-17,google,cpc,Paid Search,195,166,66,117,0.6,585,90.0
2025-10-17,(direct),(none),Direct,199,169,68,119,0.6,597,90.0
2025-10-17,facebook.com,social,Organic Social,198,168,67,119,0.6,594,90.0
2025-10-17,newsletter,email,Email,202,172,69,121,0.6,606,90.0
2025-10-18,google,organic,Organic Search,239,203,81,143,0.6,717,90.0
2025-10-18,google,cpc,Paid Search,238,202,81,143,0.6,714,90.0
2025-10-18,(direct),(none),Direct,232,197,79,139,0.6,696,90.0
2025-10-18,facebook.com,social,Organic Social,238,202,81,143,0.6,714,90.0
2025-10-18,newsletter,email,Email,225,191,76,135,0.6,675,90.0
2025-10-19,google,organic,Organic Search,225,191,76,135,0.6,675,90.0
2025-10-19,google,cpc,Paid Search,249,212,85,149,0.6,747,90.0
2025-10-19,(direct),(none),Direct,262,223,89,157,0.6,786,90.0
2025-10-19,facebook.com,social,Organic Social,226,192,77,136,0.6,678,90.0
2025-10-19,newsletter,email,Email,260,221,88,156,0.6,780,90.0
2025-10-20,google,organic,Organic Search,205,174,70,123,0.6,615,90.0
2025-10-20,google,cpc,Paid Search,218,185,74,131,0.6,654,90.0
2025-10-20,(direct),(none),Direct,196,167,67,118,0.6,588,90.0
2025-10-20,facebook.com,social,Organic Social,208,177,71,125,0.6,624,90.0
2025-10-20,newsletter,email,Email,202,172,69,121,0.6,606,90.0
2025-10-21,google,organic,Organic Search,219,186,74,131,0.6,657,90.0
2025-10-21,google,cpc,Paid Search,182,155,62,109,0.6,546,90.0
2025-10-21,(direct),(none),Direct,182,155,62,109,0.6,546,90.0
2025-10-21,facebook.com,social,Organic Social,215,183,73,129,0.6,645,90.0
2025-10-21,newsletter,email,Email,182,155,62,109,0.6,546,90.0
2025-10-22,google,organic,Organic Search,216,184,74,130,0.6,648,90.0
2025-10-22,google,cpc,Paid Search,184,156,62,110,0.6,552,90.0
2025-10-22,(direct),(none),Direct,184,156,62,110,0.6,552,90.0
2025-10-22,facebook.com,social,Organic Social,193,164,66,116,0.6,579,90.0
2025-10-22,newsletter,email,Email,209,178,71,125,0.6,627,90.0
2025-10-23,google,organic,Organic Search,203,173,69,122,0.6,609,90.0
2025-10-23,google,cpc,Paid Search,216,184,74,130,0.6,648,90.0
2025-10-23,(direct),(none),Direct,205,174,70,123,0.6,615,90.0
2025-10-23,facebook.com,social,Organic Social,204,173,69,122,0.6,612,90.0
2025-10-23,newsletter,email,Email,203,173,69,122,0.6,609,90.0
2025-10-24,google,organic,Organic Search,196,167,67,118,0.6,588,90.0
2025-10-24,google,cpc,Paid Search,206,175,70,124,0.6,618,90.0
2025-10-24,(direct),(none),Direct,219,186,74,131,0.6,657,90.0
2025-10-24,facebook.com,social,Organic Social,219,186,74,131,0.6,657,90.0
